monkey_id lid pid lid_pid age_at_sampling within.age mean.age individual_sex reads unique non_unique meth_cpg unmeth_cpg reads_msp1 perc_chg_meth perc_chh_meth chrX_ratio prep_date parentName grantparent_tissueType date_birth processing_timestamp university perc_unique n
35 42L LID_101415 PID_10042 LID_101415_PID_10042 14.1 0.984999999999999 13.115 F 21210010 11057982 9624162 12831404 17136807 20209775 0.8% 0.5% 0.763212 2018-09-06 DID_1001246 whole_blood 1999-12-30 2014-02-04 uw 0.521356755607376 2
36 37V LID_101416 PID_10042 LID_101416_PID_10042 8.23 -3.42 11.65 F 12157399 6335510 5536562 7729386 6764753 11113875 0.9% 0.6% 0.832766 2018-08-31 DID_1001247 whole_blood 2003-11-15 2012-02-07 uw 0.521123802879218 2
37 5E1 LID_101417 PID_10042 LID_101417_PID_10042 5.2 -4.445 9.645 M 18066445 10305062 7274667 11055326 13143243 15652129 0.9% 0.6% 0.470361 2018-09-04 DID_1001248 whole_blood 2007-09-14 2012-11-27 uw 0.570397884033079 2
38 60R LID_101422 PID_10042 LID_101422_PID_10042 10.15 -4.56 14.71 F 16493116 9254977 6842323 10684090 15646380 15393597 0.7% 0.5% 0.755524 2018-08-30 DID_1001256 whole_blood 2001-12-03 2012-01-26 uw 0.561141812135439 2
39 46N LID_101430 PID_10042 LID_101430_PID_10042 12.25 -5.20666666666667 17.4566666666667 M 15988675 8833977 6755594 9822437 16874398 15196935 1.5% 1.6% 0.441134 2018-09-14 DID_1001632 whole_blood 1999-11-12 2012-02-13 uw 0.552514639268107 2
40 17K LID_101435 PID_10042 LID_101435_PID_10042 15.23 -5.005 20.235 M 17782467 10210180 6998238 11333552 11612076 15684015 1.3% 1.1% 0.478907 2018-09-14 DID_1001934 whole_blood 1998-11-20 2014-02-12 uw 0.574171176586466 4
41 78I LID_101436 PID_10042 LID_101436_PID_10042 17.9 -1.0975 18.9975 F 12697602 6964544 5399006 7156813 14605990 12143739 0.9% 0.8% 0.708557 2018-09-14 DID_1001963 whole_blood 1997-12-15 2015-11-09 uw 0.548492857155233 4
42 30C LID_101438 PID_10042 LID_101438_PID_10042 21.75 2.88333333333333 18.8666666666667 M 17697379 9880465 7316793 11079571 18779945 16902747 1.1% 1.0% 0.442124 2018-09-14 DID_1002009 whole_blood 1994-01-21 2015-10-20 uw 0.5583010342944 3
43 43F LID_101439 PID_10042 LID_101439_PID_10042 19.88 -1.02333333333333 20.9033333333333 F 15926366 8191025 7318290 10216111 14542945 15476335 0.8% 0.6% 0.732258 2018-09-14 DID_1002067 whole_blood 1996-01-11 2015-11-30 uw 0.514305962829185 3
44 04I LID_101440 PID_10042 LID_101440_PID_10042 17.94 2.385 15.555 M 16017637 8937580 6532844 10375304 13728254 14998196 1.3% 1.1% 0.441474 2018-09-14 DID_1002083 whole_blood 1997-12-09 2015-11-17 uw 0.557983677617366 2
45 80S LID_103821 PID_10123 LID_103821_PID_10123 14.1 2.60666666666667 11.4933333333333 F 11412484 5513833 2297705 9068721 9602790 10915746 0.6% 0.4% 0.777621 2019-07-31 DID_1003519 whole_blood 2002-11-12 2016-12-19 uw 0.483140480196949 3
46 50P LID_103832 PID_10123 LID_103832_PID_10123 15.59 2.57333333333333 13.0166666666667 M 9467275 4443804 1985836 6883756 8063267 9046140 0.6% 0.4% 0.474803 2019-07-31 DID_1003560 whole_blood 2001-03-20 2016-10-24 uw 0.469385752500059 2
47 55R LID_103848 PID_10123 LID_103848_PID_10123 14.97 1.95 13.02 F 13849734 5992171 3465359 8845801 10833813 13163749 0.8% 0.6% 0.777369 2019-07-31 DID_1003577 whole_blood 2001-11-08 2016-10-28 uw 0.43265603512674 2
48 9C6 LID_103869 PID_10123 LID_103869_PID_10123 10.17 1.435 8.735 M 10990059 4591917 3017138 6721448 8486135 10599616 0.7% 0.5% 0.469744 2019-07-31 DID_1003601 whole_blood 2006-10-12 2016-12-13 uw 0.417824599485772 2
49 9I7 LID_103870 PID_10123 LID_103870_PID_10123 6.94 1.43 5.51 F 10825132 4526495 2808574 6586707 8541173 10369071 0.7% 0.5% 0.777272 2019-07-31 DID_1003602 whole_blood 2009-11-18 2016-10-26 uw 0.418146864167569 2
50 43N LID_103873 PID_10123 LID_103873_PID_10123 17 2.395 14.605 M 7401983 3577762 1577212 5061308 5617473 6563511 0.6% 0.4% 0.484539 2019-07-31 DID_1003605 whole_blood 1999-11-11 2016-11-10 uw 0.483351826125513 2
51 41N LID_103884 PID_10123 LID_103884_PID_10123 16.74 3.39 13.35 M 16075003 7171235 3916246 10690423 10614576 15012079 0.8% 0.6% 0.503861 2019-07-31 DID_1003617 whole_blood 2000-02-04 2016-10-31 uw 0.446110958735124 2
52 2F2 LID_103902 PID_10123 LID_103902_PID_10123 11.04 2.00666666666667 9.03333333333333 F 8643352 3959045 1970222 5743187 6122158 7910791 0.7% 0.6% 0.83137 2019-07-31 DID_1003637 whole_blood 2007-11-19 2018-12-04 uw 0.458045096393159 2
53 60R LID_103913 PID_10123 LID_103913_PID_10123 16.99 2.28 14.71 F 11747931 5243029 2700006 8165409 10892844 11364141 0.7% 0.4% 0.769873 2019-08-08 DID_1003648 whole_blood 2001-12-03 2018-11-30 uw 0.44629381973728 2
54 8C9 LID_103915 PID_10123 LID_103915_PID_10123 12.12 2.00666666666667 10.1133333333333 M 11388833 5318857 2392665 7829854 12355650 10914152 0.6% 0.5% 0.468547 2019-08-08 DID_1003650 whole_blood 2006-10-29 2018-12-11 uw 0.467023882078173 2
55 49V LID_103922 PID_10123 LID_103922_PID_10123 15.04 3.375 11.665 F 9749163 5434283 1552738 6614133 12379805 8500309 0.6% 0.5% 0.829463 2019-08-08 DID_1003657 whole_blood 2003-11-15 2018-11-30 uw 0.557410210497045 2
56 6D6 LID_103926 PID_10123 LID_103926_PID_10123 12.15 3.01 9.14 F 13770398 7021120 2241460 6973901 20845519 12197610 0.6% 0.4% 0.809567 2019-08-08 DID_1003661 whole_blood 2006-10-26 2018-12-18 uw 0.509870520808476 2
